Sample_ID,ANONYMIZED_NAME,Sample,Sex,Genotype,Housing,Box
DMG2000951,W12_mouse83 BOX2 faeces,Sample_73,Male,WT,SH,2
DMG2000952,W12_mouse88 BOX2 faeces,Sample_74,Male,WT,SH,2
DMG2000953,W12_mouse73 BOX3 faeces,Sample_75,Male,WT,SH,3
DMG2000954,W12_mouse110 BOX3 faeces,Sample_76,Male,WT,SH,3
DMG2000955,W12_mouse57 BOX15 faeces,Sample_77,Male,HD,SH,15
DMG2000956,W12_mouse13 BOX5 faeces,Sample_78,Male,WT,EE,5
DMG2000957,W12_mouse134 BOX5 faeces,Sample_79,Male,WT,EE,5
DMG2000958,W12_mouse136 BOX5 faeces,Sample_80,Male,WT,EE,5
DMG2000959,W12_mouse103 BOX6 faeces,Sample_81,Male,WT,EE,6
DMG2000960,W12_mouse110 BOX 6 faeces ,Sample_82,Male,WT,EE,6
DMG2000961,W12_mouse7 BOX 7 faeces ,Sample_83,Male,WT,EE,7
DMG2000962,W12_mouse20 BOX 7 faeces ,Sample_84,Male,WT,EE,7
DMG2000963,W12_mouse55 BOX 7 faeces ,Sample_85,Male,WT,EE,7
DMG2000964,W12_mouse38 BOX 17 faeces ,Sample_86,Male,HD,EE,17
DMG2000965,W12_mouse15 BOX 9 faeces ,Sample_87,Male,WT,EX,9
DMG2000966,W12_mouse22 BOX 9 faeces ,Sample_88,Male,WT,EX,9
DMG2000967,W12_mouse28 BOX 9 faeces ,Sample_89,Male,WT,EX,9
DMG2000968,W12_mouse111 BOX 10 faeces ,Sample_90,Male,WT,EX,10
DMG2000969,W12_mouse126 BOX 10 faeces ,Sample_91,Male,WT,EX,10
DMG2000970,W12_mouse59 BOX 11 faeces ,Sample_92,Male,WT,EX,11
DMG2000971,W12_mouse60 BOX 11 faeces ,Sample_93,Male,WT,EX,11
DMG2000972,W12_mouse97 BOX 11 faeces ,Sample_94,Male,WT,EX,11
DMG2000973,W12_mouse5 BOX 21 faeces ,Sample_95,Male,HD,EX,21
